 code lot_size stock_name owner_market stock_child_type stock_type
65 US.MCY 1 默邱利通用  0 STOCK
66 US.MET 1 大都会人寿  0 STOCK
67 US.MHLD 1 "Maiden Holdings Ltd."  0 STOCK
68 US.MKL 1 "Markel Corp."  0 STOCK
69 US.MMC 1 威达信集团  0 STOCK
70 US.NAVG 1 领航者  0 STOCK
71 US.NGHC 1 "National General Holdings Corp."  0 STOCK
72 US.NSEC 1 "National Security Group, Inc."  0 STOCK
73 US.NWLI 1 国家西方人寿保险  0 STOCK
74 US.ORI 1 "Old Republic International Corp."  0 STOCK
75 US.OXBR 1 "Oxbridge Re Holdings Ltd."  0 STOCK
76 US.PFG 1 信安金融  0 STOCK
77 US.PGR 1 美国前进保险公司  0 STOCK
78 US.PIH 1 "1347 Property Insurance Holdings, Inc."  0 STOCK
79 US.PN 1 "PATRIOT NATIONAL, INC."  0 STOCK
80 US.PRA 1 "ProAssurance Corp."  0 STOCK
81 US.PRI 1 "Primerica, Inc."  0 STOCK
82 US.PRU 1 保德信金融  0 STOCK
83 US.PUK 1 英国保诚  0 STOCK
84 US.RE 1 安富来再保险集团公司  0 STOCK
85 US.RGA 1 "Reinsurance Group of America, Inc."  0 STOCK
86 US.RLI 1 RLI保险  0 STOCK
87 US.RNR 1 "RenaissanceRe Holdings Ltd."  0 STOCK
88 US.SAFT 1 "Safety Insurance Group, Inc."  0 STOCK
89 US.SIGI 1 "Selective Insurance Group, Inc."  0 STOCK
90 US.SLF 1 永明金融  0 STOCK
91 US.STFC 1 "State Auto Financial Corp."  0 STOCK
92 US.THG 1 汉诺威保险  0 STOCK
93 US.TIPT 1 "Tiptree Inc. Class A"  0 STOCK
94 US.TMK 1 托马科  0 STOCK
95 US.TPRE 1 "Third Point Reinsurance Ltd."  0 STOCK
96 US.TRV 1 旅行者财产险集团  0 STOCK
97 US.UFCS 1 "United Fire Group, Inc."  0 STOCK
98 US.UIHC 1 "United Insurance Holdings Corp."  0 STOCK
99 US.UNAM 1 "Unico American Corp."  0 STOCK
100 US.UNM 1 尤纳姆集团  0 STOCK
101 US.UVE 1 "Universal Insurance Holdings, Inc."  0 STOCK
102 US.VR 1 "Validus Holdings Ltd."  0 STOCK
103 US.WMIH 1 "WMIH Corp."  0 STOCK
104 US.WRB 1 "W.R. Berkley Corp."  0 STOCK
105 US.WTM 1 "White Mountains Insurance Group"  0 STOCK
106 US.XL 1 "XL Group Ltd."  0 STOCK
107 US.Y 1 "Alleghany Corp."  0 STOCK
